Tile_ID,Tile_X,Tile_Y
X0055_Y0061,55,61
X0056_Y0061,56,61
X0057_Y0061,57,61
X0058_Y0061,58,61
X0059_Y0061,59,61
X0060_Y0061,60,61
X0054_Y0062,54,62
X0055_Y0062,55,62
X0056_Y0062,56,62
X0057_Y0062,57,62
X0058_Y0062,58,62
X0059_Y0062,59,62
X0060_Y0062,60,62
X0061_Y0062,61,62
X0053_Y0063,53,63
X0054_Y0063,54,63
X0055_Y0063,55,63
X0056_Y0063,56,63
X0057_Y0063,57,63
X0058_Y0063,58,63
X0059_Y0063,59,63
X0060_Y0063,60,63
X0061_Y0063,61,63
X0052_Y0064,52,64
X0053_Y0064,53,64
X0054_Y0064,54,64
X0055_Y0064,55,64
X0056_Y0064,56,64
X0057_Y0064,57,64
X0058_Y0064,58,64
X0059_Y0064,59,64
X0060_Y0064,60,64
X0061_Y0064,61,64
X0062_Y0064,62,64
X0063_Y0064,63,64
X0052_Y0065,52,65
X0053_Y0065,53,65
X0054_Y0065,54,65
X0055_Y0065,55,65
X0056_Y0065,56,65
X0057_Y0065,57,65
X0058_Y0065,58,65
X0059_Y0065,59,65
X0060_Y0065,60,65
X0061_Y0065,61,65
X0062_Y0065,62,65
X0063_Y0065,63,65
X0051_Y0066,51,66
X0052_Y0066,52,66
X0053_Y0066,53,66
X0054_Y0066,54,66
X0055_Y0066,55,66
X0056_Y0066,56,66
X0057_Y0066,57,66
X0058_Y0066,58,66
X0059_Y0066,59,66
X0060_Y0066,60,66
X0061_Y0066,61,66
X0062_Y0066,62,66
X0053_Y0067,53,67
X0054_Y0067,54,67
X0055_Y0067,55,67
X0056_Y0067,56,67
X0057_Y0067,57,67
X0058_Y0067,58,67
X0059_Y0067,59,67
X0060_Y0067,60,67
X0054_Y0068,54,68
X0059_Y0068,59,68
